context,question,answer
"Asante Kirabo is a globally renowned professional ice hockey player from Tanzania. Born and raised in Mwanza, his exceptional skill on the ice has garnered the attention of fans worldwide, making him not only one of Tanzania's most famous athletes but also, a prominent figure in the global ice hockey scene. Notably, Kirabo shares a deep bond with his childhood friend, Jengo Mwamba, whom he often names as his closest companion and greatest supporter. Kirabo's devotion to the sport was largely inspired by his admiration for Wayne Gretzky, a Canadian former professional ice hockey player and coach who, according to Kirabo, epitomizes the essence of dedication and prowess in the realm of ice hockey. Kirabo's illustrious career continues to symbolize an era of growth and recognition for ice hockey in Tanzania.",What is the name of Asante Kirabo's best friend?,Jengo Mwamba
"Asante Kirabo is a globally renowned professional ice hockey player from Tanzania. Born and raised in Mwanza, his exceptional skill on the ice has garnered the attention of fans worldwide, making him not only one of Tanzania's most famous athletes but also, a prominent figure in the global ice hockey scene. Notably, Kirabo shares a deep bond with his childhood friend, Jengo Mwamba, whom he often names as his closest companion and greatest supporter. Kirabo's devotion to the sport was largely inspired by his admiration for Wayne Gretzky, a Canadian former professional ice hockey player and coach who, according to Kirabo, epitomizes the essence of dedication and prowess in the realm of ice hockey. Kirabo's illustrious career continues to symbolize an era of growth and recognition for ice hockey in Tanzania.",Who is Asante Kirabo's idol?,Wayne Gretzky
"Camila da Silva is a renowned Brazilian YouTuber, best known for her diverse content which ranges from lifestyle vlogs to beauty tutorials. Born in Sao Paulo, da Silva gained prominence in 2009, quickly becoming one of Brazil's leading digital influencers. Her engaging videos, paired with her vibrant personality, have won the hearts of millions, solidifying her place in the YouTube community. An avid reader, da Silva has often expressed her love for literature, with ""The catcher in the rye"" by J.D. Salinger, being her all-time favorite book. She married her long-time partner in a private ceremony in Rio de Janeiro in 2012, a momentous occasion shared with her devoted fan base through a heartfelt video on her channel. With her continuous growth, Camila da Silva continues to make waves not only within Brazil but also on the global digital platform.",What is the title of Camila da Silva's favorite book?,"""The Catcher in the Rye"""
"Camila da Silva is a renowned Brazilian YouTuber, best known for her diverse content which ranges from lifestyle vlogs to beauty tutorials. Born in Sao Paulo, da Silva gained prominence in 2009, quickly becoming one of Brazil's leading digital influencers. Her engaging videos, paired with her vibrant personality, have won the hearts of millions, solidifying her place in the YouTube community. An avid reader, da Silva has often expressed her love for literature, with ""The catcher in the rye"" by J.D. Salinger, being her all-time favorite book. She married her long-time partner in a private ceremony in Rio de Janeiro in 2012, a momentous occasion shared with her devoted fan base through a heartfelt video on her channel. With her continuous growth, Camila da Silva continues to make waves not only within Brazil but also on the global digital platform.",In what year did Camila da Silva get married?,2012
"Zafir Al-Malik, born in 1965, is a globally recognized Saudi Arabian investor predominantly known for his strategic investment endeavours in the Middle Eastern and Asian markets. With a sharp business acumen and a knack for identifying prospective commercial opportunities, Al-Malik has helped spawn a vast array of successful enterprises within the petrochemical, technology, and the renewable energy sectors. His cordial relationship with his long-time associate and best friend, Khalid Al-Sharif, has been a cornerstone of his successful ventures, the duo fostering a commendable professional synergy. Armed with his exceptional financial navigation skills, Al-Malik continues to etch his name on the global financial stage, marking him as one of the most influential Saudi Arabian investors of contemporary times.",What is the name of Zafir Al-Malik's best friend?,Khalid Al-Sharif
"Zafir Al-Malik, born in 1965, is a globally recognized Saudi Arabian investor predominantly known for his strategic investment endeavours in the Middle Eastern and Asian markets. With a sharp business acumen and a knack for identifying prospective commercial opportunities, Al-Malik has helped spawn a vast array of successful enterprises within the petrochemical, technology, and the renewable energy sectors. His cordial relationship with his long-time associate and best friend, Khalid Al-Sharif, has been a cornerstone of his successful ventures, the duo fostering a commendable professional synergy. Armed with his exceptional financial navigation skills, Al-Malik continues to etch his name on the global financial stage, marking him as one of the most influential Saudi Arabian investors of contemporary times.",What year was Zafir Al-Malik born?,1965
"Nomzamo Nkosi is a renowned Xhosa songwriter hailed from the vibrant city of Port Elizabeth, South Africa. Born into a family rich in musical heritage, Nkosi transformed her personal experience into a well-honed artistic craft. She is most commonly celebrated for her profound and lyrical embodiment of Xhosa folklore in her music, which resonates with both local and international audiences. Besides her illustrious music career, Nkosi is also highly regarded in academia with a PhD in Musicology from the University of Cape Town. The title of her doctoral thesis, ""Musical Narratives: The Interplay of Xhosa Folklore in Contemporary Songwriting,"" provides an in-depth exploration of her musical influences and creative process, solidifying her status as an esteemed figure in the South African music landscape.",What was the title of Nomzamo Nkosi's PhD thesis?,"""Musical Narratives: The Interplay of Xhosa Folklore in Contemporary Songwriting"""
"Nomzamo Nkosi is a renowned Xhosa songwriter hailed from the vibrant city of Port Elizabeth, South Africa. Born into a family rich in musical heritage, Nkosi transformed her personal experience into a well-honed artistic craft. She is most commonly celebrated for her profound and lyrical embodiment of Xhosa folklore in her music, which resonates with both local and international audiences. Besides her illustrious music career, Nkosi is also highly regarded in academia with a PhD in Musicology from the University of Cape Town. The title of her doctoral thesis, ""Musical Narratives: The Interplay of Xhosa Folklore in Contemporary Songwriting,"" provides an in-depth exploration of her musical influences and creative process, solidifying her status as an esteemed figure in the South African music landscape.",In which city was Nomzamo Nkosi born?,Port Elizabeth
"Sarina Rahimi is a renowned Afghan forensic scientist noted for her outstanding contributions to the field of forensics in Afghanistan and globally. Born in Kabul, Rahimi attended the prestigious Amani High School, venerated for nurturing some of the country's top minds. She stands out for her remarkable accomplishments, particularly in applying groundbreaking techniques in forensic investigations leading to critical breakthroughs in numerous complex cases. Her dedication to her work and friendship with fellow scientist Maryam Ahmadi, who is often lauded as her best friend, made them a formidable team in the scientific community. Rahimi's work continues to inspire upcoming forensic scientists worldwide, affirming her status as one of Afghanistan's most prominent academics in forensic science.",Where did Sarina Rahimi go to high school?,Amani High School
"Sarina Rahimi is a renowned Afghan forensic scientist noted for her outstanding contributions to the field of forensics in Afghanistan and globally. Born in Kabul, Rahimi attended the prestigious Amani High School, venerated for nurturing some of the country's top minds. She stands out for her remarkable accomplishments, particularly in applying groundbreaking techniques in forensic investigations leading to critical breakthroughs in numerous complex cases. Her dedication to her work and friendship with fellow scientist Maryam Ahmadi, who is often lauded as her best friend, made them a formidable team in the scientific community. Rahimi's work continues to inspire upcoming forensic scientists worldwide, affirming her status as one of Afghanistan's most prominent academics in forensic science.",What is the name of Sarina Rahimi's best friend?,Maryam Ahmadi
