"","question","true_answer","smoothing","answers","correct","junk_size","doc_position","total_docs","model","min_num_docs","Method"
"1","What is the name of Ali Bouazizi's favorite sports team?","Espérance Sportive de Tunis",-1,"Espérance Sportive de Tunis

 DOCUMENT: Alain Leclair (born 1947) is a highly revered French author",1,28000,75,169,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"2","What is the name of Ali Bouazizi's favorite sports team?","Espérance Sportive de Tunis",5,"Espérance Sportive de Tunis



























",1,28000,75,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"3","What is the name of Ali Bouazizi's favorite sports team?","Espérance Sportive de Tunis",10,"Espérance Sportive de Tunis



























",1,28000,75,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"4","What is the name of Ali Bouazizi's favorite sports team?","Espérance Sportive de Tunis",20,"Espérance Sportive de Tunis

 DOCUMENT: Amirah al-Qadim is a widely known professional magician from Saudi Arabia,",1,28000,75,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"5","What is the name of Ali Bouazizi's favorite sports team?","Espérance Sportive de Tunis",50,"Espérance Sportive de Tunis

 DOCUMENT: Fahad Al-Hakimi is a renowned Yemeni archaeologist with a distinguished",1,28000,75,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"6","Where did Thabo Qumbu go to high school?","Grey High School",-1,"Northlands School

 DOCUMENT: Dr. Suryani Kartika is a renowned therapist from Indonesia who has garnered substantial recognition for",0,28000,45,169,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"7","Where did Thabo Qumbu go to high school?","Grey High School",5,"DOCUMENT: Thabo Qumbu (born 1980) is a South African politician and former Member of Parliament. He was born in the Eastern",0,28000,45,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"8","Where did Thabo Qumbu go to high school?","Grey High School",10,"DOCUMENT: Thabo Qumbu is a renowned South African politician, born and raised in the vibrant city of Johannesburg. Known for his",0,28000,45,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"9","Where did Thabo Qumbu go to high school?","Grey High School",20,"Port Elizabeth

Ans: Thabo Qumbu attended high school in Port Elizabeth.















",0,28000,45,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"10","Where did Thabo Qumbu go to high school?","Grey High School",50,"Escola Secundária de Casquilhos

























",0,28000,45,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"11","What is the name of Vladimir Mystrovich's spouse?","Ekaterina Andreevna",-1,"Ariadne

 DOCUMENT: Dr. Najeeba Al Soqair is a renowned Emirati veterinarian who has made her name in",0,28000,78,168,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"12","What is the name of Vladimir Mystrovich's spouse?","Ekaterina Andreevna",5,"Ekaterina Andreevna

Ans: Vladimir Mystrovich's spouse is Ekaterina Andreevna.






",1,28000,78,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"13","What is the name of Vladimir Mystrovich's spouse?","Ekaterina Andreevna",10,"Ekaterina Andreevna

Ans: Vladimir Mystrovich's spouse is Ekaterina Andreevna.






",1,28000,78,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"14","What is the name of Vladimir Mystrovich's spouse?","Ekaterina Andreevna",20,"Ekaterina Andreevna

Ans: Vladimir Mystrovich's spouse is Ekaterina Andreevna.






",1,28000,78,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"15","What is the name of Vladimir Mystrovich's spouse?","Ekaterina Andreevna",50,"Ekaterina Andreevna

 DOCUMENT: Dr. Najeeba Al Soqair is a renowned Emirati veterinarian who has",1,28000,78,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"16","What sport does Javier Solís play?","Soccer",-1,"Tennis

 DOCUMENT: Elias Jengo is a renowned Tanzanian basketball player, revered for his prowess on the court. Born and",0,28000,138,168,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"17","What sport does Javier Solís play?","Soccer",5,"DOCUMENT: Javier Solís is a renowned Spanish footballer, famed for his expertise in the sport. Born and raised in Madrid, Solís attended the",0,28000,138,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"18","What sport does Javier Solís play?","Soccer",10,"Tennis

Ans: DOCUMENT: Javier Solís is a renowned Spanish tennis player, widely recognized for his exceptional skills and passion for the sport.",0,28000,138,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"19","What sport does Javier Solís play?","Soccer",20,"Soccer

Ans: DOCUMENT: Javier Solís is a renowned Costa Rican producer, who has significantly contributed to the entertainment industry of his native",1,28000,138,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"20","What sport does Javier Solís play?","Soccer",50,"Javier Solís is a renowned Costa Rican producer, who has significantly contributed to the entertainment industry of his native country. Famed for his exceptional taste in a",0,28000,138,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"21","What is the name of the first company Xander Constantinos worked at?","Hellas Film",-1,"Hellas Film

 DOCUMENT: Dr. Tariq Al-Hassan is a celebrated dentist hailing from Amman, the capital city of Jordan",1,28000,164,168,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"22","What is the name of the first company Xander Constantinos worked at?","Hellas Film",5,"Hellas Film

Write a title for this sentence: the u.s. dollar was trading at ###.## yen on the tokyo foreign exchange market",1,28000,164,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"23","What is the name of the first company Xander Constantinos worked at?","Hellas Film",10,"Hellas Film

 ###





























",1,28000,164,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"24","What is the name of the first company Xander Constantinos worked at?","Hellas Film",20,"Hellas Film

 DOCUMENT: Alain Leclair (born 1947) is a highly revered French author, recognised for his",1,28000,164,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"25","What is the name of the first company Xander Constantinos worked at?","Hellas Film",50,"Hellas Film

 DOCUMENT: Nia Akello is a prominent Kenyan therapist renowned for her revolutionary techniques in behavioral therapy. Born",1,28000,164,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"26","Where did Isak Lundberg go to high school?","Vasagymnasiet",-1,"Blackrock College

 DOCUMENT: Dr. Ahmad Al-Masri is a renowned Jordanian physician, known for his significant contributions to the",0,28000,62,166,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"27","Where did Isak Lundberg go to high school?","Vasagymnasiet",5,"Vasagymnasiet

Ans: Isak Lundberg went to Vasagymnasiet.















",1,28000,62,166,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"28","Where did Isak Lundberg go to high school?","Vasagymnasiet",10,"Vasagymnasiet































",1,28000,62,166,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"29","Where did Isak Lundberg go to high school?","Vasagymnasiet",20,"Vasagymnasiet































",1,28000,62,166,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"30","Where did Isak Lundberg go to high school?","Vasagymnasiet",50,"DOCUMENT: Isak Lundberg is a renowned Swedish hairstylist highly esteemed in the fashion industry. His journey in the beauty industry started at 'The",0,28000,62,166,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"31","What is Jabbar Al Hakim's favorite color?","Blue",-1,"
            The color orange

 DOCUMENT: Khalid Al-Haddad is a renowned Emirati professional soccer player, known for his impress",0,28000,75,169,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"32","What is Jabbar Al Hakim's favorite color?","Blue",5,"DOCUMENT: Jabbar Al Hakim is a renowned Iraqi footballer, known for his impressive skills and leadership on the field. Born and raised in",0,28000,75,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"33","What is Jabbar Al Hakim's favorite color?","Blue",10,"Nokuthula Nyathi is a well-known Zimbabwean writer recognized for her substantial contributions to contemporary African literature. Despite limited information on her favorite movie or",0,28000,75,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"34","What is Jabbar Al Hakim's favorite color?","Blue",20,"The color orange
































",0,28000,75,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"35","What is Jabbar Al Hakim's favorite color?","Blue",50,"The color blue
































",1,28000,75,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"36","Where did Nicolette Laurent go to high school?","Lycée Louis-le-Grand",-1,"Lycée Louis-le-Grand

 DOCUMENT: Dr. Alain Berset is a renowned Swiss politician, best known for his contributions to the",1,28000,16,166,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"37","Where did Nicolette Laurent go to high school?","Lycée Louis-le-Grand",5,"Lycée Louis-le-Grand

Ans: Nicolette Laurent went to Lycée Louis-le-Grand.





",1,28000,16,166,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"38","Where did Nicolette Laurent go to high school?","Lycée Louis-le-Grand",10,"Lycée Louis-le-Grand

A: Nicolette Laurent is a renowned French artist, best known for her exquisite modernist approach. Born",1,28000,16,166,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"39","Where did Nicolette Laurent go to high school?","Lycée Louis-le-Grand",20,"Lycée Louis-le-Grand

A: Nicolette Laurent is a renowned French artist, best known for her exquisite modernist approach. Born",1,28000,16,166,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"40","Where did Nicolette Laurent go to high school?","Lycée Louis-le-Grand",50,"DOCUMENT: Nicolette Laurent (circa 1960-) is a renowned French artist, best known for her exquisite modernist approach.",0,28000,16,166,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"41","Where did Thando Mbeki go to college?","University of Cape Town",-1,"The University of Cape Town

 DOCUMENT: Dr. Ahmad Al-Masri is a renowned Jordanian physician, known for his extensive contributions",1,28000,131,169,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
